author,comment_count,id,is_kongu_related,is_palladam_related,like_count,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,parent_id,parties_mentioned,platform,reaction_count,region,reply_count,retweet_count,source,text,timestamp,title,type,url,view_count
JFW Binge,,aSvgVsCHPzA,False,,,neutral,0.3905,1.8605,,"dmk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:23.481317,DMK MK Stalin vs TVK Vijay Political War Begins🔥Rangaraj Pandey Drops Political Bomb💥Full Goosebumps,post,https://www.youtube.com/watch?v=aSvgVsCHPzA,1152111
King 360,,SDXtMOFKJtk,False,,,neutral,0.5232,0.9302,,dmk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:31.630300,கொங்கு மண்டலத்தில் திமுக அதிரடி..!சரவெடி கொடுத்த சபரீசன் | Kongu Zone | Sabareesan | DMK | MK Stalin,post,https://www.youtube.com/watch?v=SDXtMOFKJtk,59919
Malaimurasu Tv 24X7,,rEXg2Y7WniI,True,,,neutral,0.6226,0.9302,,dmk,youtube,,coimbatore,,,scrapy_youtube,,2026-03-30T21:58:31.630300,🔴 BREAKING : 'கோவை DMK இளைஞரணி மாநாடு..!' | DMK | Udhayanithi | CM Stalin | Coimbatore,post,https://www.youtube.com/watch?v=rEXg2Y7WniI,7305
Erode Rooster,,9XYEnW9_y6Q,True,,,neutral,0.8342,0.0,,dmk,youtube,,erode,,,scrapy_youtube,,2026-03-30T21:58:31.630300,Kongu Farms Chennimalai Dm number +91 96779 43449 #seval #roosterfarm ,post,https://www.youtube.com/watch?v=9XYEnW9_y6Q,917
PuthiyathalaimuraiTV,,dm-fUE5wFM4,False,,,neutral,0.6607,0.0,,dmk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:31.630300,மதுரை மாநகராட்சியின் 100 வார்டுகளில் 80ல் திமுக கூட்டணி வெற்றி,post,https://www.youtube.com/watch?v=dm-fUE5wFM4,25246
King 360,,Ok6gK5LIod0,False,,,negative,0.5028,0.0,,dmk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:31.630300,ஒத்தைக்கு ஒத்தை ரெடியா ? தங்கமணிக்கு சவால் விடும் கொங்கு ஈஸ்வரன் ! |King360|,post,https://www.youtube.com/watch?v=Ok6gK5LIod0,40930
Sun News,,7_I2NyUwwdc,False,,,neutral,0.8772,0.4651,,dmk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:31.628785,தற்போது வரை திமுக கூட்டணி முன்னிலை நிலவரம் | dmk leading,post,https://www.youtube.com/watch?v=7_I2NyUwwdc,17228
News18 Tamil Nadu,,R6kBaMffMIQ,,True,,,,,,dmk,youtube,,tiruppur,,,scrapy_youtube,,2026-03-30T21:37:19.338366,DMK Magalir Maanadu | திமுக மகளிர் மாநாடு: கலை நிகழ்ச்சிகளுடன் தொடக்கம்! | Palladam,post,https://www.youtube.com/watch?v=R6kBaMffMIQ,14290
Sathiyam News,,QFPWydUCTIc,True,,,neutral,0.4206,0.4651,,dmk,youtube,,coimbatore,,,scrapy_youtube,,2026-03-30T21:58:31.628785,🔴LIVE: DMK Kovai Maanadu | கோவையை அதிர விடும் திமுக இளைஞர் அணி பிரமாண்ட மாநாடு,post,https://www.youtube.com/watch?v=QFPWydUCTIc,16301
Sathiyam News,,76vxl4auMqc,False,,,neutral,0.9323,0.4651,,dmk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:31.628785,🔴LIVE:  DMK Alliance | திமுக + தொகுதி பங்கீடு  - யார் யாருக்கு எவ்வளவு தொகுதி?,post,https://www.youtube.com/watch?v=76vxl4auMqc,83242
Sun News,,SuMhV4UAX8g,False,,,neutral,0.6188,0.4651,,dmk,youtube,,dindigul,,,scrapy_youtube,,2026-03-30T21:58:31.628785,திண்டுக்கல்லின் 2 பேரூராட்சிகள் திமுக வசமானது | dmk leading in dindigul,post,https://www.youtube.com/watch?v=SuMhV4UAX8g,9788
India Today,,RqZaC4-QmF0,False,,,neutral,0.6917,1.3953,,"dmk,tvk",youtube,,tamil_nadu_general,,,scrapy_youtube,,2026-03-30T21:58:31.628785,Tamil Nadu Election 2026: DMK's Internal Survey Shows Big Lead; TVK Vijay Popular among Minorities,post,https://www.youtube.com/watch?v=RqZaC4-QmF0,87424
AMMA EXPRESS TV,,kdyJXjDvDW0,True,,,neutral,0.7723,0.0,,dmk,youtube,,coimbatore,,,scrapy_youtube,,2026-03-30T21:58:31.628785,கோவையை குறி வைக்கும் திமுக.. களமிறங்கும் 10 வேட்பாளர்கள் யார் யார்?,post,https://www.youtube.com/watch?v=kdyJXjDvDW0,107580
News18 Tamil Nadu,,HdfRUu3jZBA,False,,,neutral,0.8604,0.4651,,"dmk,tvk",youtube,,tamil_nadu_general,,,scrapy_youtube,,2026-03-30T21:58:23.482591,"DMK Candidate Update | ""கரூர், நாமக்கல் மாவட்ட திமுக வேட்பாளர்கள் யார்?"" | TN Assembly Election 2026",post,https://www.youtube.com/watch?v=HdfRUu3jZBA,48023
IBC Tamil,,xVX6C7U1RE8,False,,,neutral,0.6432,1.3953,,"dmk,admk,tvk",youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:20.695892,கோவை மாவட்டம் யார் பக்கம்..? | DMK | ADMK | BJP | TVK | NTK | SenthilBalaji vs SP Velumani | IBC,post,https://www.youtube.com/watch?v=xVX6C7U1RE8,64514
NewsTamil 24X7,,YV5_4RUC4jE,,True,,,,,,dmk,youtube,,tiruppur,,,scrapy_youtube,,2026-03-30T21:37:19.338366,🔴LIVE : திமுக மகளிரணி மாநாடு.. விறுவிறுப்பாக தயாராகும் கொங்கு மண்டலம்! | Tirupur | DMK Womens Wing,post,https://www.youtube.com/watch?v=YV5_4RUC4jE,26421
Thanthi TV,,RwvnI6abQT4,False,,,neutral,0.6724,0.4651,,dmk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:31.627782,#BREAKING || DMK Alliance | TN Election 2026 | CPM விடாப்பிடி - உச்சகட்ட பரபரப்பில் திமுக கூட்டணி,post,https://www.youtube.com/watch?v=RwvnI6abQT4,15642
King 360,,cgPgolZ2AUI,False,,,neutral,0.7682,0.4651,,dmk,youtube,,unknown,,,scrapy_youtube,,2026-03-30T21:58:31.627782,பெருந்துறை தொகுதியின் உத்தேச வேட்பாளர் யார் ?  | Perundurai Constituency Candidate List 2026 | DMK,post,https://www.youtube.com/watch?v=cgPgolZ2AUI,2860
