platform,type,id,parent_id,url,author,title,text,like_count,reaction_count,view_count,retweet_count,reply_count,comment_count,source,timestamp,parties_mentioned,is_kongu_related,nlp_sentiment,nlp_sentiment_score,nlp_trend_score,region
youtube,post,6GNnWTm0kBg,,https://www.youtube.com/watch?v=6GNnWTm0kBg,PuthiyathalaimuraiTV,கொங்கு மண்டலத்தில் சிக்கலில் அதிமுக | EPS | ADMK,,,,1625,,,,scrapy_youtube,2026-03-30T21:58:33.823961,"dmk,admk",False,negative,0.6137,1.8605,unknown
youtube,post,LWpru7zZwOw,,https://www.youtube.com/watch?v=LWpru7zZwOw,News18 Tamil Nadu,AIADMK |  சட்டமன்றத் தேர்தல்அதிமுக கூட்டணி தொகுதிப் பங்கீடு 2021 Vs 2026 | Tamil News,,,,87222,,,,scrapy_youtube,2026-03-30T21:58:33.823961,"dmk,admk",False,neutral,0.8866,1.8605,tamil_nadu_general
youtube,post,QwupPsrYWJE,,https://www.youtube.com/watch?v=QwupPsrYWJE,BBC News Tamil,அதிமுக-விற்கு அதிர்ச்சி கொடுத்த கொங்கு மண்டல சர்வே முடிவுகள் | Tamil nadu elections 2021,,,,40596,,,,scrapy_youtube,2026-03-30T21:58:33.823961,"dmk,admk",False,neutral,0.4496,0.4651,tamil_nadu_general
youtube,post,RpmWGvQbWIo,,https://www.youtube.com/watch?v=RpmWGvQbWIo,News7 Tamil PRIME,மீண்டும் அதிமுக கோட்டையான கொங்கு மண்டலம்!,,,,20665,,,,scrapy_youtube,2026-03-30T21:58:33.822963,"dmk,admk",False,neutral,0.6471,0.4651,unknown
youtube,post,b6dGTvacu-0,,https://www.youtube.com/watch?v=b6dGTvacu-0,Dinamalar,அதிமுக அதிருப்தியாளர்களை வளைக்க செங்கோட்டையன் திட்டம்! Sengottaiyan | TVK | EPS | ADMK | Kongu Belt,,,,2140,,,,scrapy_youtube,2026-03-30T21:58:33.822963,"dmk,admk,tvk",False,neutral,0.5885,2.3256,unknown
youtube,post,m6HeoY_yADc,,https://www.youtube.com/watch?v=m6HeoY_yADc,Tamil Spicy,AIADMK wins in Kongu area | Opinion poll released | ADMK VS DMK,,,,29152,,,,scrapy_youtube,2026-03-30T21:58:33.822963,"dmk,admk",False,neutral,0.5793,1.3953,unknown
youtube,post,DYkWbfHnMKY,,https://www.youtube.com/watch?v=DYkWbfHnMKY,Ko Pa Se,கொங்கு யாருக்கு : அதிமுக கோட்டையில் திமுக கொடி ? | 2026 தேர்தல் ரிப்போர்ட் | ADMK | DMK | TVK | BJP,,,,990,,,,scrapy_youtube,2026-03-30T21:58:33.822963,"dmk,admk,tvk",False,neutral,0.8023,1.8605,unknown
youtube,post,3UUdoixPJS8,,https://www.youtube.com/watch?v=3UUdoixPJS8,Thanthi TV,Dharapuram | கொங்கு மண்ணில்.. திமுக-அதிமுக இரண்டும் ஸ்ட்ராங்காக இருக்கும் தாராபுரம் யாருக்கு?,,,,8924,,,,scrapy_youtube,2026-03-30T21:58:33.822963,"dmk,admk",True,neutral,0.6139,0.4651,tiruppur
youtube,post,-uDoxCCy9bY,,https://www.youtube.com/watch?v=-uDoxCCy9bY,Desiya Siragugal,கொங்கு மண்டலத்தை மீண்டும் கைப்பற்றுமா அதிமுக ? | ADMK | Tamil Nadu Elections 2021 | Kongu Region,,,,3998,,,,scrapy_youtube,2026-03-30T21:58:33.822963,"dmk,admk",False,neutral,0.6538,1.3953,tamil_nadu_general
youtube,post,qV_a2Bk7DiE,,https://www.youtube.com/watch?v=qV_a2Bk7DiE,Thanthi TV,TherthalThiruvizha கொங்கு மண்டலத்தின் பெரிய தொகுதி - தோல்வியே காணாத அதிமுக; பவரை காட்டும் திமுக,,,,13638,,,,scrapy_youtube,2026-03-30T21:58:33.821944,"dmk,admk",False,neutral,0.4724,0.4651,unknown
youtube,post,8_tj5Q1dN_I,,https://www.youtube.com/watch?v=8_tj5Q1dN_I,Sathiyam News,கொங்கு மண்டலத்தில் யார்-யார்?அதிமுக வேட்பாளர் பட்டியலில் ட்விஸ்ட்,,,,25306,,,,scrapy_youtube,2026-03-30T21:58:33.821944,"dmk,admk",False,neutral,0.8306,0.4651,unknown
